update,generated_tokens,cumulative_generated_tokens,reward_mean,reward_std,reward_variance,format_accuracy,parseable_rate,canonical_pass_rate,accuracy_given_parseable,policy_loss,value_loss,total_loss,kl,ratio_mean,ratio_variance,clip_fraction,policy_entropy_mean,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,value_grad_norm,value_grad_norm_available,value_grad_norm_reason,learning_rate,completion_length_mean,completion_length_std,eos_rate,truncation_rate,unique_completion_rate,completion_duplicate_rate,zero_advantage_fraction,runtime_valid_answer_rate,runtime_valid_answer_rate_reliable,runtime_valid_answer_rate_reason
11,1700,17955,0.20625000000000002,0.3131867454091887,0.0980859375,0.5625,0.5,0.125,0.25,0.009129393845796585,4.167502403259277,0.42587963417172436,0.0005985521711409092,0.9952549338340759,2.524296633055201e-06,0.006502239033579826,1.1392314434051514,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,6.875e-06,106.25,54.343237849800595,0.9375,0.0625,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
12,1011,18966,0.425,0.45,0.2025,0.4375,0.4375,0.375,0.8571428571428571,0.001220420002937317,5.930476188659668,0.5942680388689041,0.000607874826528132,0.995341956615448,9.324048733105883e-06,0.003483578097075224,1.3057937622070312,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,6.5625e-06,63.1875,27.058313763980195,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
13,1799,20765,0.165625,0.2336655930491265,0.054599609375000004,0.5625,0.5,0.0625,0.125,0.017306286841630936,4.923032760620117,0.5096095629036427,0.0004317263956181705,0.9955869913101196,4.861862635152647e-06,0.0035732840187847614,1.8727107048034668,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,6.25e-06,112.4375,79.64135919074963,0.875,0.125,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
14,1429,22194,0.234375,0.3008938506766132,0.090537109375,0.5625,0.5625,0.125,0.2222222222222222,0.010709919035434723,4.143141746520996,0.42502409368753435,0.0006604812806472182,0.9965953230857849,2.4456710434606066e-06,0.009971636347472668,1.5606846809387207,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,5.9375e-06,89.3125,46.43909822283374,1.0,0.0,0.9375,0.0625,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
15,1679,23873,0.125,0.24173849507267145,0.0584375,0.3125,0.3125,0.0625,0.2,0.03154854476451874,4.989675998687744,0.5305161446332931,0.000508810393512249,0.995369553565979,1.3462955621434958e-06,0.004969641100615263,1.4221101999282837,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,5.625e-06,104.9375,59.90770896762786,0.9375,0.0625,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
16,1343,25216,0.084375,0.09636964965693297,0.009287109375000002,0.375,0.375,0.0,0.0,0.016065213829278946,4.835272789001465,0.49959249272942546,0.0011220995802432299,0.9931560754776001,7.213197932287585e-07,0.01308540441095829,1.6897468566894531,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,5.3125e-06,83.9375,36.39792018440065,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
17,1766,26982,0.153125,0.22944821719725783,0.052646484375,0.5625,0.25,0.0625,0.25,0.00971253402531147,4.7460222244262695,0.4843147564679384,0.0006316559156402946,0.9942746162414551,3.0505937047564657e-06,0.004294318612664938,1.2994519472122192,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,5e-06,110.375,62.09657297307155,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
18,1815,28797,0.325,0.4575751304430782,0.209375,0.375,0.375,0.3125,0.8333333333333334,0.005699096247553825,3.9213156700134277,0.3978306632488966,0.000439171475591138,0.9956395626068115,3.321248414067668e-06,0.0027816889341920614,1.1655958890914917,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,4.6875000000000004e-06,113.4375,41.958266095609815,1.0,0.0,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
19,2224,31021,0.1875,0.2197299478905868,0.04828125,0.75,0.4375,0.0625,0.14285714285714285,0.0002776593901216984,4.929681301116943,0.4932457895018161,0.0011229277588427067,0.9901010394096375,2.128327878381242e-06,0.004474991001188755,0.740808367729187,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,4.3750000000000005e-06,139.0,40.057770781709756,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
20,1373,32394,0.2125,0.38385381331960217,0.14734375,0.3125,0.3125,0.1875,0.6,0.011829123832285404,4.872765064239502,0.4991056302562356,0.00024974526604637504,0.9977709054946899,9.796709576903595e-08,0.002810145728290081,1.209712028503418,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,4.0625000000000005e-06,85.8125,49.61252204585048,1.0,0.0,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
21,1626,34020,0.21875,0.3799156978857283,0.1443359375,0.3125,0.25,0.1875,0.75,0.005757695995271206,4.335933685302734,0.4393510645255447,0.0004688884364441037,0.9959871172904968,1.6043453570091515e-06,0.0039558191783726215,1.9367715120315552,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,3.7500000000000005e-06,101.625,58.60767334573178,0.9375,0.0625,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
22,1611,35631,0.390625,0.41766417056649713,0.174443359375,0.6875,0.625,0.3125,0.5,0.0003647175617516041,4.273197174072266,0.4276844349689782,0.0006208715494722128,0.9949520230293274,7.718475103501987e-07,0.005119421519339085,1.182227373123169,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,3.4375e-06,100.6875,37.051853445543045,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
23,1916,37547,0.228125,0.37747878665562123,0.142490234375,0.375,0.3125,0.1875,0.6,0.008269327692687511,3.7761056423187256,0.38587989192456007,0.00041584877180866897,0.995732307434082,2.58437836464509e-07,0.0032626395113766193,0.9657084345817566,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,3.125e-06,119.75,43.83563048480083,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
24,1611,39158,0.328125,0.39566745427821076,0.156552734375,0.5,0.5,0.25,0.5,0.0012053726240992546,3.5768489837646484,0.35889027100056414,0.0008512684144079685,0.9921459555625916,8.577654284636083e-07,0.004367402289062738,0.7186977863311768,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,2.8125e-06,100.6875,18.797336081211082,1.0,0.0,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
25,1668,40826,0.15,0.23979157616563598,0.0575,0.5,0.5,0.0625,0.125,0.007133703678846359,4.7847490310668945,0.48560860678553586,0.000867173308506608,0.9932723045349121,6.630455118283862e-06,0.004869744181632996,1.2243967056274414,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,2.5e-06,104.25,40.426631074082835,1.0,0.0,1.0,0.0,0.5,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
26,1302,42128,0.275,0.4235268586524354,0.179375,0.375,0.375,0.25,0.6666666666666666,0.004279725253582001,4.59542179107666,0.46382190436124804,0.0007208687020465732,0.9945161938667297,1.0615579412842635e-05,0.005652320571243763,1.0428962707519531,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,2.1875000000000002e-06,81.375,29.436106654922963,1.0,0.0,0.875,0.125,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
27,1373,43501,0.4625,0.4226035376094242,0.17859375,0.8125,0.8125,0.375,0.46153846153846156,-0.002283181995153427,4.297616004943848,0.42747841849923135,0.0008167604682967067,0.9940909743309021,8.324416853611183e-07,0.006379047874361277,0.9998006820678711,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1.8750000000000003e-06,85.8125,29.722085117804234,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
28,1349,44850,0.15625,0.23242942477233816,0.0540234375,0.5625,0.375,0.0625,0.16666666666666666,0.012870780192315578,4.585110187530518,0.47138179894536736,0.0006150971166789532,0.9960111975669861,1.8082182577927597e-06,0.006148318760097027,1.0539782047271729,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1.5625e-06,84.3125,50.104539153154576,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
29,1444,46294,0.21875,0.30815732589052625,0.0949609375,0.5,0.5,0.125,0.25,0.003195405239239335,4.370230674743652,0.4402184727136046,0.0008144741877913475,0.9935393333435059,2.6649388473742874e-06,0.00401835422962904,1.2384920120239258,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,1.25e-06,90.25,26.80368444822465,1.0,0.0,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
30,2153,48447,0.29375,0.41302050493891945,0.1705859375,0.5625,0.375,0.25,0.6666666666666666,0.006950451992452145,3.877927303314209,0.39474318232387307,0.0004702747392002493,0.9956457018852234,4.107378117623739e-07,0.00410544965416193,1.1374833583831787,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,9.375000000000001e-07,134.5625,64.04389973877294,0.875,0.125,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
31,1358,49805,0.328125,0.3960621597363222,0.156865234375,0.625,0.5625,0.25,0.4444444444444444,0.010463623329997063,4.148394584655762,0.42530308179557325,0.0005814421456307173,0.9942916035652161,1.4378150581251248e-06,0.001672480721026659,0.7774076461791992,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,6.25e-07,84.875,27.424612577026497,1.0,0.0,1.0,0.0,0.25,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
32,1564,51369,0.146875,0.23682057422234243,0.056083984375,0.5,0.375,0.0625,0.16666666666666666,0.011714175343513489,4.312029838562012,0.4429171591997147,0.00041147490264847875,0.9959656000137329,3.8884593323018635e-07,0.005946469493210316,1.775935173034668,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,3.125e-07,97.75,55.96594946929785,0.9375,0.0625,1.0,0.0,0.0,0.0,False,stale nested components lookup after flat RewardResult evidence serialization; replaced only in derived reports using canonical_status primary evidence
