update,reward_mean,reward_std,reward_variance,loss,total_loss,total_loss_definition,grad_norm,grad_norm_available,grad_norm_reason,grad_norm_raw_metric_key,policy_grad_norm,policy_grad_norm_available,policy_grad_norm_reason,policy_grad_norm_raw_metric_key,value_grad_norm,value_grad_norm_available,value_grad_norm_reason,value_grad_norm_raw_metric_key,entropy,policy_entropy_mean,policy_entropy_mean_available,policy_entropy_mean_reason,policy_entropy_std,policy_entropy_std_available,policy_entropy_std_reason,response_token_entropy_mean,response_token_entropy_mean_available,response_token_entropy_mean_reason,entropy_metric_source,entropy_raw_metric_key,entropy_logits_or_log_probabilities,entropy_response_axis_only,entropy_excludes_prompt,entropy_excludes_pad,entropy_excludes_eos,entropy_token_mask,entropy_aggregation,entropy_dtype,entropy_formula,entropy_trl_version,entropy_transformers_version,entropy_extra_model_forward,entropy_full_logits_persisted,learning_rate,mean_completion_length,completion_length_mean,completion_length_std,eos_rate,eos_rate_available,eos_rate_reason,truncation_rate,truncation_rate_available,truncation_rate_reason,unique_completion_rate,completion_duplicate_rate,completion_diversity_definition,zero_advantage_fraction,zero_advantage_group_count,group_rewards,group_reward_variances,verifier_status_counts,format_accuracy,valid_answer_rate,canonical_pass_rate,generated_tokens,cumulative_generated_tokens,kl,kl_available,kl_raw_key,kl_unavailable_reason,clip_fraction,clip_fraction_available,clip_fraction_raw_key,clip_fraction_reason,ratio_mean,ratio_available,ratio_raw_key,ratio_reason,ratio_variance,ratio_variance_available,ratio_variance_raw_key,ratio_variance_reason,advantage_mean,advantage_std,advantage_available,advantage_reason,return_mean,return_std,return_available,return_reason,policy_loss,value_loss,value_loss_coefficient
11,0.20625000000000002,0.3131867454091887,0.0980859375,0.42587963417172436,0.42587963417172436,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.1392314434051514,1.1392314434051514,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,6.875e-06,106.25,106.25,54.343237849800595,0.9375,True,,0.0625,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.2, 0.0, 0.2, 0.2], [0.0, 0.0, 0.0, 0.1], [0.0, 0.0, 0.2, 0.2], [1.0, 1.0, 0.2, 0.0]]","[0.007500000000000001, 0.0018750000000000001, 0.010000000000000002, 0.2075]","{'format_error': 7, 'parse_error': 1, 'verified_pass': 2, 'wrong_answer': 6}",0.5625,0.0,0.125,1700,17955,0.0005985521711409092,True,policy/approxkl_avg,,0.006502239033579826,True,policy/clipfrac_avg,,0.9952549338340759,True,val/ratio,,2.524296633055201e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.009129393845796585,4.167502403259277,0.1
12,0.425,0.45,0.2025,0.5942680388689041,0.5942680388689041,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.3057937622070312,1.3057937622070312,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,6.5625e-06,63.1875,63.1875,27.058313763980195,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[1.0, 0.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.2], [0.15, 0.15, 0.15, 0.15], [1.0, 1.0, 0.0, 1.0]]","[0.1875, 0.007500000000000001, 0.0, 0.1875]","{'format_error': 9, 'verified_pass': 6, 'wrong_answer': 1}",0.4375,0.0,0.375,1011,18966,0.000607874826528132,True,policy/approxkl_avg,,0.003483578097075224,True,policy/clipfrac_avg,,0.995341956615448,True,val/ratio,,9.324048733105883e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.001220420002937317,5.930476188659668,0.1
13,0.165625,0.2336655930491265,0.054599609375000004,0.5096095629036427,0.5096095629036427,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.8727107048034668,1.8727107048034668,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,6.25e-06,112.4375,112.4375,79.64135919074963,0.875,True,,0.125,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.0, 0.0, 0.1, 0.0], [0.0, 0.0, 1.0, 0.2], [0.2, 0.2, 0.2, 0.2], [0.15, 0.2, 0.2, 0.0]]","[0.0018750000000000001, 0.17, 0.0, 0.006718750000000001]","{'format_error': 7, 'parse_error': 1, 'verified_pass': 1, 'wrong_answer': 7}",0.5625,0.0,0.0625,1799,20765,0.0004317263956181705,True,policy/approxkl_avg,,0.0035732840187847614,True,policy/clipfrac_avg,,0.9955869913101196,True,val/ratio,,4.861862635152647e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.017306286841630936,4.923032760620117,0.1
14,0.234375,0.3008938506766132,0.090537109375,0.42502409368753435,0.42502409368753435,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.5606846809387207,1.5606846809387207,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,5.9375e-06,89.3125,89.3125,46.43909822283374,1.0,True,,0.0,True,,0.9375,0.0625,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.0, 0.0, 0.0, 0.0], [0.2, 0.05, 0.2, 0.15], [0.2, 0.2, 0.2, 0.2], [0.15, 1.0, 1.0, 0.2]]","[0.0, 0.0037500000000000003, 0.0, 0.17046875]","{'format_error': 7, 'verified_pass': 2, 'wrong_answer': 7}",0.5625,0.0,0.125,1429,22194,0.0006604812806472182,True,policy/approxkl_avg,,0.009971636347472668,True,policy/clipfrac_avg,,0.9965953230857849,True,val/ratio,,2.4456710434606066e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.010709919035434723,4.143141746520996,0.1
15,0.125,0.24173849507267145,0.0584375,0.5305161446332931,0.5305161446332931,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.4221101999282837,1.4221101999282837,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,5.625e-06,104.9375,104.9375,59.90770896762786,0.9375,True,,0.0625,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2, 0.05], [0.2, 0.15, 0.0, 0.0], [0.2, 1.0, 0.0, 0.2]]","[0.0, 0.006718750000000001, 0.00796875, 0.1475]","{'format_error': 11, 'verified_pass': 1, 'wrong_answer': 4}",0.3125,0.0,0.0625,1679,23873,0.000508810393512249,True,policy/approxkl_avg,,0.004969641100615263,True,policy/clipfrac_avg,,0.995369553565979,True,val/ratio,,1.3462955621434958e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.03154854476451874,4.989675998687744,0.1
16,0.084375,0.09636964965693297,0.009287109375000002,0.49959249272942546,0.49959249272942546,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.6897468566894531,1.6897468566894531,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,5.3125e-06,83.9375,83.9375,36.39792018440065,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.2], [0.2, 0.2, 0.0, 0.2], [0.0, 0.15, 0.2, 0.2]]","[0.0, 0.007500000000000001, 0.007500000000000001, 0.006718750000000001]","{'format_error': 10, 'wrong_answer': 6}",0.375,0.0,0.0,1343,25216,0.0011220995802432299,True,policy/approxkl_avg,,0.01308540441095829,True,policy/clipfrac_avg,,0.9931560754776001,True,val/ratio,,7.213197932287585e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.016065213829278946,4.835272789001465,0.1
17,0.153125,0.22944821719725783,0.052646484375,0.4843147564679384,0.4843147564679384,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.2994519472122192,1.2994519472122192,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,5e-06,110.375,110.375,62.09657297307155,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.0, 1.0, 0.1, 0.1], [0.1, 0.1, 0.1, 0.05], [0.0, 0.15, 0.0, 0.15], [0.2, 0.2, 0.0, 0.2]]","[0.165, 0.00046875000000000004, 0.005625, 0.007500000000000001]","{'format_error': 7, 'parse_error': 5, 'verified_pass': 1, 'wrong_answer': 3}",0.5625,0.0,0.0625,1766,26982,0.0006316559156402946,True,policy/approxkl_avg,,0.004294318612664938,True,policy/clipfrac_avg,,0.9942746162414551,True,val/ratio,,3.0505937047564657e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.00971253402531147,4.7460222244262695,0.1
18,0.325,0.4575751304430782,0.209375,0.3978306632488966,0.3978306632488966,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.1655958890914917,1.1655958890914917,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,4.6875000000000004e-06,113.4375,113.4375,41.958266095609815,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.2, 1.0, 1.0, 1.0], [1.0, 0.0, 0.0, 1.0]]","[0.0, 0.0, 0.12, 0.25]","{'format_error': 10, 'verified_pass': 5, 'wrong_answer': 1}",0.375,0.0,0.3125,1815,28797,0.000439171475591138,True,policy/approxkl_avg,,0.0027816889341920614,True,policy/clipfrac_avg,,0.9956395626068115,True,val/ratio,,3.321248414067668e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.005699096247553825,3.9213156700134277,0.1
19,0.1875,0.2197299478905868,0.04828125,0.4932457895018161,0.4932457895018161,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,0.740808367729187,0.740808367729187,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,4.3750000000000005e-06,139.0,139.0,40.057770781709756,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.2, 0.2, 0.0, 0.1], [0.2, 0.1, 0.1, 0.1], [0.2, 0.1, 0.2, 1.0], [0.15, 0.0, 0.2, 0.15]]","[0.006875000000000001, 0.0018750000000000001, 0.131875, 0.005625000000000001]","{'format_error': 4, 'parse_error': 5, 'verified_pass': 1, 'wrong_answer': 6}",0.75,0.0,0.0625,2224,31021,0.0011229277588427067,True,policy/approxkl_avg,,0.004474991001188755,True,policy/clipfrac_avg,,0.9901010394096375,True,val/ratio,,2.128327878381242e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0002776593901216984,4.929681301116943,0.1
20,0.2125,0.38385381331960217,0.14734375,0.4991056302562356,0.4991056302562356,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.209712028503418,1.209712028503418,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,4.0625000000000005e-06,85.8125,85.8125,49.61252204585048,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.2, 1.0, 0.2, 1.0]]","[0.0, 0.0, 0.1875, 0.16]","{'format_error': 11, 'verified_pass': 3, 'wrong_answer': 2}",0.3125,0.0,0.1875,1373,32394,0.00024974526604637504,True,policy/approxkl_avg,,0.002810145728290081,True,policy/clipfrac_avg,,0.9977709054946899,True,val/ratio,,9.796709576903595e-08,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.011829123832285404,4.872765064239502,0.1
21,0.21875,0.3799156978857283,0.1443359375,0.4393510645255447,0.4393510645255447,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.9367715120315552,1.9367715120315552,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,3.7500000000000005e-06,101.625,101.625,58.60767334573178,0.9375,True,,0.0625,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.25,1,"[[0.1, 0.0, 0.05, 0.0], [0.0, 0.0, 0.0, 0.0], [0.2, 1.0, 1.0, 1.0], [0.15, 0.0, 0.0, 0.0]]","[0.0017187500000000002, 0.0, 0.12, 0.004218749999999999]","{'format_error': 11, 'parse_error': 1, 'verified_pass': 3, 'wrong_answer': 1}",0.3125,0.0,0.1875,1626,34020,0.0004688884364441037,True,policy/approxkl_avg,,0.0039558191783726215,True,policy/clipfrac_avg,,0.9959871172904968,True,val/ratio,,1.6043453570091515e-06,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.005757695995271206,4.335933685302734,0.1
22,0.390625,0.41766417056649713,0.174443359375,0.4276844349689782,0.4276844349689782,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,1.182227373123169,1.182227373123169,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,3.4375e-06,100.6875,100.6875,37.051853445543045,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.0, 0.0, 0.0, 0.2], [0.0, 0.2, 0.2, 0.2], [1.0, 1.0, 0.15, 0.1], [1.0, 0.2, 1.0, 1.0]]","[0.007500000000000001, 0.007500000000000001, 0.19171875, 0.12]","{'format_error': 5, 'parse_error': 1, 'verified_pass': 5, 'wrong_answer': 5}",0.6875,0.0,0.3125,1611,35631,0.0006208715494722128,True,policy/approxkl_avg,,0.005119421519339085,True,policy/clipfrac_avg,,0.9949520230293274,True,val/ratio,,7.718475103501987e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0003647175617516041,4.273197174072266,0.1
23,0.228125,0.37747878665562123,0.142490234375,0.38587989192456007,0.38587989192456007,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,0.9657084345817566,0.9657084345817566,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,3.125e-06,119.75,119.75,43.83563048480083,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.0,0,"[[0.1, 0.0, 0.0, 0.0], [0.0, 0.0, 0.2, 0.0], [1.0, 0.2, 1.0, 1.0], [0.15, 0.0, 0.0, 0.0]]","[0.0018750000000000001, 0.007500000000000001, 0.12, 0.004218749999999999]","{'format_error': 10, 'parse_error': 1, 'verified_pass': 3, 'wrong_answer': 2}",0.375,0.0,0.1875,1916,37547,0.00041584877180866897,True,policy/approxkl_avg,,0.0032626395113766193,True,policy/clipfrac_avg,,0.995732307434082,True,val/ratio,,2.58437836464509e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.008269327692687511,3.7761056423187256,0.1
24,0.328125,0.39566745427821076,0.156552734375,0.35889027100056414,0.35889027100056414,policy_loss + TRL_0.24.0_default_vf_coef_0.1 * value_loss,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,0.7186977863311768,0.7186977863311768,True,,,False,reviewed TRL 0.24.0 log row emits only an aggregated entropy mean,,False,TRL 0.24.0 PPO policy/entropy_avg is not response-mask weighted; computing the unified token mean would require intrusive or memory-expensive logits work,TRL 0.24.0 native trainer metric,policy/entropy_avg,current policy training logits,True,True,False,False,none in TRL policy/entropy_avg reduction,"unmasked mean over response-axis training logits per microbatch, then mean over PPO epoch/minibatch/gradient-accumulation cells",BF16 policy logits under formal config; scalar converted to Python float,H=-sum_v softmax(logits)_v * log_softmax(logits)_v (nats),0.24.0,4.57.6,False,False,2.8125e-06,100.6875,100.6875,18.797336081211082,1.0,True,,0.0,True,,1.0,0.0,exact raw-completion UTF-8 equality within each four-sample problem group; rates are the mean of four group rates,0.5,2,"[[0.2, 0.2, 0.0, 0.2], [0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0], [0.15, 0.2, 0.15, 0.15]]","[0.007500000000000001, 0.0, 0.0, 0.0004687500000000003]","{'format_error': 8, 'verified_pass': 4, 'wrong_answer': 4}",0.5,0.0,0.25,1611,39158,0.0008512684144079685,True,policy/approxkl_avg,,0.004367402289062738,True,policy/clipfrac_avg,,0.9921459555625916,True,val/ratio,,8.577654284636083e-07,True,val/ratio_var,,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,,,False,reviewed TRL 0.24.0 per-update log row did not expose this metric,0.0012053726240992546,3.5768489837646484,0.1
